[coverage strength]
2
""
SCHEDULE_click_Whaton,STARRED_click_Sandbox_tab,SCHEDULE_click_Home_btn,DASHBOARD_click_Starred_btn,DASHBOARD_click_Schedule_btn
action,action,action,action,action
