[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S3_select_schedulingTypeSelect_index_2,S10_submit_submitButton,S7_select_schedulingTypeSelect_index_2,S0_type_memberUserName,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton
validPaymentCountBetween17and36,invalidAmountRight,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,validAcceptableAmount,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
validPaymentCountBetween17and36,invalidAmountLeft,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountRight,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,validAcceptableAmount,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,SINGLE_FUTURE,action,SINGLE_FUTURE,test1,IMMEDIATELY,MULTIPLE_FUTURE,action,MULTIPLE_FUTURE,action
