[coverage strength]
6
""
UnifiedInbox_click_Compose_menu,ComposeEmail_click_Add_CcBcc_menu,ComposeEmail_click_Save_as_draft_meu,SelectBatchOps_click_Mark_selected_unread,UnifiedInboxSelected_click_Close_btn_3,UnifiedInboxSelected_click_AllStar_btn_2,UnifiedInbox_click_Select_all_menu,Home_click_Batch_Ops_menu
action,action,action,action,action,action,action,action
