[coverage strength]
4
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S7_select_schedulingTypeSelect_index_2,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S14_submit_submitButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,MULTIPLE_FUTURE,action,SINGLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE
