[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S7_select_schedulingTypeSelect_index_2,S8c3_submit_submitButton,S1_wait_input,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S14_type_description
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountLef,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,invalidAmountRight,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,SINGLE_FUTURE,action,action,MULTIPLE_FUTURE,action,action,test1,MULTIPLE_FUTURE,anyString
